sku;descripcion;descripcion2;long_desc;img_ambiente;img;Cod_producto;Patas regulables (sí/no);Para uso interior (sí/no);Densidad de la espuma del respaldo;Plegable (sí/no);Acabado de las patas;Material de las patas;Reclinable (sí/no);Material del relleno del asiento;Número de plazas;País de origen;Para uso bajo cubierto (sí/no);Para uso exterior (sí/no);Materiales;Asiento acolchado (sí/no);Construcción de la estructura;Acabado principal;Tipo y especificación del tejido;Composición del tejido;Material del relleno;Densidad de la espuma;Forma del producto;Material principal;Color principal;Temporada;Año de publicación;Fabricado con materiales reciclados (sí/no);Fabricado con materiales naturales (sí/no);Colores;Temporada de compra;Tipo de silla;Color de la pata;Tapizado (sí/no);Color del tapizado;Tapizado abotonado (sí/no);Material principal de las patas;Tipo de tapizado del respaldo;Material principal del reposabrazos;Estilo principal;Tipo de base/pata;Estancias;Porcentaje de materiales reciclados;Porcentaje de materiales naturales;Resistencia a la formación de bolitas;Solidez del color a la luz;Código de muestra de color
CC1975M40;Mesa extensible Nadyria chapa de roble patas de acero acabado negro 160 (200) x 90 cm;ero acabado negro 160 (200) x 90 cm;Mesa extensible Nadyria chapa de roble patas de acero acabado negro 160 (200) x 90 cm;;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1975M40/CC1975M40·3A.jpg;CC1975M40;No;Sí;;No;Pintura en polvo, Mate;Acero;;;6;VN ;No;No;;;;;;;;;Rectangular;Madera manufacturada;Natural;Atemporal;16/03/2021;No;No;Natural, Negro;;;Negro;;;;;;;Moderno;;Comedor, Cocina, Salón, Espacio de trabajo;0;0;;;MTK0176
CC1986AB14;Silla Nadya gris claro;;Silla Nadya gris claro;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001266_5-20220303124953.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1986AB14/CC1986AB14·3A.jpg;CC1986AB14;No;Sí;;N/A;Pintura en polvo;Acero;No;;1;CN ;No;No;Tejido, Espuma, Contrachapado de bajas emisiones E0, Acero;Sí;Acero;Tapizado;Tejido liso;100% Poliéster;Espuma;30;Cuadrada;Tejido;Gris;Atemporal;14/05/2020;No;No;Gris, Negro;;Silla con brazos;;Sí;Gris;No;Metal;Respaldo fijo;Tapizado;Nórdico;4 patas;Comedor, Cocina;;;5 - Excelente;5 - Muy bueno;
CC1987GR02;Silla Suanne gris oscuro con patas de acero acabado pintado negro;o pintado negro;Silla Suanne gris oscuro con patas de acero acabado pintado negro;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001174_6.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1987GR02/CC1987GR02·3A.jpg;CC1987GR02;No;Sí;;N/A;Pintura en polvo;Acero;No;;1;CN ;No;No;Tejido, Espuma, Contrachapado de bajas emisiones E0, Acero;Sí;Acero;Tapizado;Chenilla;100% Poliéster;Espuma;35;Cuadrada;Tejido;Gris;Atemporal;02/04/2020;No;No;Gris, Negro;;Silla con brazos;;Sí;Gris;No;Metal;Respaldo fijo;Tapizado;Nórdico;4 patas;Comedor, Cocina;0;0;4 - Muy bueno;5 - Muy bueno;MTK0154
CC1987LN15;Silla Suanne de pana gruesa gris con patas de acero acabado pintado negro;o acabado pintado negro;Silla Suanne de pana gruesa gris con patas de acero acabado pintado negro;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001553_3-20210512101641.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1987LN15/CC1987LN15·3A.jpg;CC1987LN15;No;Sí;;N/A;Pintura en polvo;Acero;No;;1;CN ;No;No;Tejido, Espuma, Contrachapado de bajas emisiones E0, Acero;Sí;Acero;Tapizado;Pana;100% Poliéster;Espuma;35;Cuadrada;Tejido;Gris;Otoño/Invierno;05/10/2020;No;No;Gris;;Silla con brazos;;Sí;Gris;No;Metal;Respaldo fijo;Tapizado;Vintage;4 patas;Comedor, Cocina;0;0;4 - Muy bueno;5 - Muy bueno;MTK0145
CC1987LN24;Silla Suanne de pana gruesa rosa con patas de acero acabado pintado negro;o acabado pintado negro;Silla Suanne de pana gruesa rosa con patas de acero acabado pintado negro;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001553_5-20210512100442.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1987LN24/CC1987LN24·3A.jpg;CC1987LN24;No;Sí;;N/A;Pintura en polvo;Acero;No;;1;CN ;No;No;Tejido, Espuma, Contrachapado de bajas emisiones E0, Acero;Sí;Acero;Tapizado;Pana;100% Poliéster;Espuma;35;Cuadrada;Tejido;Rosa;Otoño/Invierno;05/10/2020;No;No;Rosa;;Silla con brazos;;Sí;Rosa;No;Metal;Respaldo fijo;Tapizado;Vintage;4 patas;Comedor, Cocina;0;0;4 - Muy bueno;5 - Muy bueno;MTK0144
CC1989C15;Mesa de centro Oseye 94 x 64 cm;;Mesa de centro Oseye 94 x 64 cm;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001270_2.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1989C15/CC1989C15·3A.jpg;CC1989C15;No;Sí;;No;Pintura en polvo;Acero;;;;CN ;No;No;Acero, Cristal templado;;;Ahumado, Pintura en polvo;N/A;;;;Rectangular;Cristal;Negro;Atemporal;12/05/2020;No;No;Negro;;;;N/A;;;Metal;;;Moderno;;Salón;;;;;
CC1992VD14;YOLANDA Silla brazos ruedas metal negro tejido Vida gris cla;al negro tejido Vida gris clar;YASMIN Silla brazos ruedas metal negro tejido Vida gris clar;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001382_0-20210423124710.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1992VD14/CC1992VD14·3A.jpg;CC1992VD14;N/A;Sí;;No;Pintura en polvo;Acero;No;;1;CN ;No;No;Tejido, Espuma, Acero;No;Acero;Tapizado;Trenzado;100% Polipropileno;Espuma;75;Cuadrada;Tejido;Gris;;12/05/2020;No;No;Gris, Negro;;N/A;Negro;Sí;Gris;No;Metal;Respaldo fijo;Tapizado;Moderno;Pedestal;Espacio de trabajo;;;4 - Muy bueno;6 - Muy bueno;
CC1995M03;Estantería Indiann de madera maciza de acacia y patas de acero acabado negro 100 x 140 cm;tas de acero acabado negro 100 x 140 cm;Estantería Indiann de madera maciza de acacia y patas de acero acabado negro 100 x 140 cm;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001571_0-20211230111935.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1995M03/CC1995M03·3A.jpg;CC1995M03;Sí;Sí;;N/A;Pintura en polvo;Acero;;;;VN ;No;No;Madera de acacia (Acacia auriculiformis), Chapa de acacia, MDF (tablero de fibra de densidad media);;;Lacado en NC (Nitrocelulosa), Espray;N/A;;;;Rectangular;Madera maciza;Negro;Atemporal;13/04/2021;No;Sí;Negro;;;;No;;;Metal;;;Moderno;;Salón, Recibidor, Comedor, Espacio de trabajo, Cocina;;;;;
CC2001J19;Butaca Ezilda madera maciza eucalipto y cuerda verde FSC 100%;de FSC 100%;Butaca Ezilda madera maciza eucalipto y cuerda verde FSC 100%;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001395_2.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC2001J19/CC2001J19·3A.jpg;CC2001J19;No;Sí;;No;Transparente, Barnizado;Madera de eucalipto (Eucalyptus grandis);No;;1;VN ;Sí;No;Madera de eucalipto (Eucalyptus grandis), Cuerda;;Madera de eucalipto (Eucalyptus grandis);Transparente, Barnizado;Cuerda;95% Polipropileno, 5% Poliéster;;;Cuadrada;Madera maciza;Verde;Verano;14/12/2020;No;Sí;Verde;SS21 OUTDOOR ;;;No;N/A;No;Madera maciza;;;Rústico;;Jardín y terraza, Salón;;> 25;;;
CC2002J19;Sofá Ezilda 2 plazas madera maciza eucalipto y cuerda verde 122 cm FSC 100%;rda verde 122 cm FSC 100%;Sofá Ezilda 2 plazas madera maciza eucalipto y cuerda verde 122 cm FSC 100%;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001395_3.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC2002J19/CC2002J19·3A.jpg;CC2002J19;No;Sí;;No;Transparente, Barnizado;Madera de eucalipto (Eucalyptus grandis);No;;2;VN ;Sí;No;Madera de eucalipto (Eucalyptus grandis), Cuerda;;Madera de eucalipto (Eucalyptus grandis);Transparente, Barnizado;Cuerda;95% Polipropileno, 5% Poliéster;;;Rectangular;Madera maciza;Verde;Verano;14/12/2020;No;Sí;Verde;SS21 OUTDOOR ;;;No;N/A;No;Madera maciza;;;Rústico;;Jardín y terraza, Salón;;> 25;;;
